geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m,Havaintoaseman nimi
"LINESTRING Z (25.09244 60.21480700000001 0, 25.095382 60.21591200000001 0, 25.100622 60.21737 0, 25.106643 60.219535 0)",101339400.0,101339236.0,2024-04-09 06:58:45+00:00,2024-04-09 07:01:28+00:00,['BRUSHING'],2024-04-09 06:58:44+00:00,2024-04-09 07:00:02+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.106643 60.219535 0, 25.108222 60.220302999999994 0, 25.110043 60.221382 0, 25.109975 60.22123 0, 25.115365 60.224304999999994 0)",101339662.0,101339400.0,2024-04-09 07:00:03+00:00,2024-04-09 07:02:30+00:00,['BRUSHING'],2024-04-09 07:00:02+00:00,2024-04-09 07:01:30+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.115365 60.224304999999994 0, 25.122788 60.22792799999999 0, 25.123715 60.22851000000001 0, 25.12367 60.228577000000016 0, 25.123768000000002 60.228680000000004 0, 25.125095 60.229340000000015 0)",101339836.0,101339662.0,2024-04-09 07:01:31+00:00,2024-04-09 07:03:32+00:00,['BRUSHING'],2024-04-09 07:01:30+00:00,2024-04-09 07:02:31+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.081196 60.222072999999995 0, 25.081453 60.22166599999999 0, 25.081792 60.22054199999999 0, 25.082254 60.219544 0, 25.085065 60.215264 0, 25.085162 60.215006999999986 0, 25.085172 60.21447 0, 25.085268 60.214245 0)",101897395.0,101897353.0,2024-04-15 19:12:16+00:00,2024-04-15 19:14:17+00:00,['BRUSHING'],2024-04-15 19:12:15+00:00,2024-04-15 19:14:32+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.085268 60.214245 0, 25.086142 60.21306599999998 0, 25.087548 60.212306000000005 0, 25.087809 60.212361999999985 0, 25.088792 60.21299300000001 0, 25.09033 60.213791 0, 25.092396 60.214690000000004 0)",101897477.0,101897395.0,2024-04-15 19:14:33+00:00,2024-04-15 19:17:18+00:00,['BRUSHING'],2024-04-15 19:14:32+00:00,2024-04-15 19:15:33+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.092396 60.214690000000004 0, 25.09507 60.215631999999985 0, 25.100335000000005 60.217094999999986 0, 25.103841 60.21822999999998 0, 25.106064 60.21913499999999 0, 25.108508 60.220381 0)",101897519.0,101897477.0,2024-04-15 19:15:34+00:00,2024-04-15 19:18:18+00:00,['BRUSHING'],2024-04-15 19:15:33+00:00,2024-04-15 19:18:33+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.108508 60.220381 0, 25.114662000000003 60.22370199999999 0, 25.115095 60.22370000000001 0, 25.11542 60.223458 0)",101897629.0,101897519.0,2024-04-15 19:18:36+00:00,2024-04-15 19:21:19+00:00,['BRUSHING'],2024-04-15 19:18:33+00:00,2024-04-15 19:21:33+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
POINT Z (25.11542 60.223458 0),101897739.0,101897629.0,2024-04-15 19:21:35+00:00,2024-04-15 19:24:20+00:00,['BRUSHING'],2024-04-15 19:21:33+00:00,2024-04-15 19:24:33+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.11542 60.223458 0, 25.115701 60.223405 0, 25.115880000000004 60.223545 0, 25.115779 60.223647 0, 25.115183 60.22378400000001 0)",101897859.0,101897739.0,2024-04-15 19:24:35+00:00,2024-04-15 19:27:21+00:00,['BRUSHING'],2024-04-15 19:24:33+00:00,2024-04-15 19:26:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.115183 60.22378400000001 0, 25.114657 60.223799000000014 0, 25.106364 60.219488000000005 0, 25.103365 60.21826 0)",101897930.0,101897859.0,2024-04-15 19:26:08+00:00,2024-04-15 19:28:21+00:00,['BRUSHING'],2024-04-15 19:26:07+00:00,2024-04-15 19:29:07+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.103365 60.21826 0, 25.100898 60.217437 0, 25.094209 60.215507 0, 25.09179 60.214606 0, 25.090985 60.214231999999996 0, 25.090941 60.214192999999995 0, 25.091101000000002 60.21413700000001 0, 25.091289 60.21419899999998 0, 25.090927 60.214048 0)",101898040.0,101897930.0,2024-04-15 19:29:08+00:00,2024-04-15 19:31:22+00:00,['BRUSHING'],2024-04-15 19:29:07+00:00,2024-04-15 19:32:07+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.090927 60.214048 0, 25.091798 60.214449999999985 0, 25.092155 60.214512 0)",101898146.0,101898040.0,2024-04-15 19:32:08+00:00,2024-04-15 19:34:23+00:00,['BRUSHING'],2024-04-15 19:32:07+00:00,2024-04-15 19:35:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.092155 60.214512 0, 25.093725 60.215108999999984 0, 25.093933 60.215134000000006 0, 25.094262000000004 60.21495399999999 0, 25.094065 60.215072 0)",101898252.0,101898146.0,2024-04-15 19:35:09+00:00,2024-04-15 19:37:24+00:00,['BRUSHING'],2024-04-15 19:35:07+00:00,2024-04-15 19:38:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.094065 60.215072 0, 25.093726 60.21510699999998 0, 25.092427 60.214618 0, 25.093828 60.215189 0)",101898361.0,101898252.0,2024-04-15 19:38:09+00:00,2024-04-15 19:40:25+00:00,['BRUSHING'],2024-04-15 19:38:07+00:00,2024-04-15 19:41:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.093828 60.215189 0, 25.093844 60.215255 0, 25.093646 60.21530099999999 0, 25.09222 60.214754 0, 25.091127 60.21427 0, 25.091051 60.214225 0, 25.091086 60.214172000000005 0, 25.091335 60.214211999999996 0, 25.091025 60.21406499999999 0, 25.091907 60.214457999999986 0)",101898464.0,101898361.0,2024-04-15 19:41:09+00:00,2024-04-15 19:43:26+00:00,['BRUSHING'],2024-04-15 19:41:07+00:00,2024-04-15 19:44:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.091907 60.214457999999986 0, 25.09241 60.214629 0, 25.09111 60.214081 0, 25.09202 60.21446000000001 0)",101898578.0,101898464.0,2024-04-15 19:44:09+00:00,2024-04-15 19:46:27+00:00,['BRUSHING'],2024-04-15 19:44:07+00:00,2024-04-15 19:47:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.09202 60.21446000000001 0, 25.092091 60.214489 0, 25.091346 60.214181999999994 0, 25.092081 60.214506000000014 0, 25.091451 60.21427 0, 25.091571 60.214314999999985 0)",101898685.0,101898578.0,2024-04-15 19:47:09+00:00,2024-04-15 19:49:28+00:00,['BRUSHING'],2024-04-15 19:47:07+00:00,2024-04-15 19:50:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.091571 60.214314999999985 0, 25.092878 60.214826999999985 0)",101898793.0,101898685.0,2024-04-15 19:50:09+00:00,2024-04-15 19:52:29+00:00,['BRUSHING'],2024-04-15 19:50:07+00:00,2024-04-15 19:53:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.092878 60.214826999999985 0, 25.092949 60.214859 0, 25.092264 60.21458499999999 0, 25.092796000000003 60.21484599999999 0, 25.094222 60.215312 0, 25.094218000000005 60.215162 0)",101898896.0,101898793.0,2024-04-15 19:53:09+00:00,2024-04-15 19:55:29+00:00,['BRUSHING'],2024-04-15 19:53:07+00:00,2024-04-15 19:56:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.094218000000005 60.215162 0, 25.094964 60.215537999999995 0, 25.096214 60.215931 0)",101899002.0,101898896.0,2024-04-15 19:56:09+00:00,2024-04-15 19:58:30+00:00,['BRUSHING'],2024-04-15 19:56:07+00:00,2024-04-15 19:59:07+00:00,,state-roads,Harja/Väylävirasto,True,False,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.096214 60.215931 0, 25.097426000000002 60.216235999999995 0, 25.096913 60.216065999999984 0)",101899106.0,101899002.0,2024-04-15 19:59:09+00:00,2024-04-15 20:01:31+00:00,['BRUSHING'],2024-04-15 19:59:07+00:00,2024-04-15 20:02:08+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.096913 60.216065999999984 0, 25.09784 60.21641000000001 0, 25.099931 60.21695 0, 25.103621 60.21810600000001 0)",101899217.0,101899106.0,2024-04-15 20:02:09+00:00,2024-04-15 20:04:32+00:00,['BRUSHING'],2024-04-15 20:02:08+00:00,2024-04-15 20:05:08+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.103621 60.21810600000001 0, 25.104768000000004 60.218526999999995 0, 25.10756 60.219888 0, 25.108430000000002 60.22023 0)",101899333.0,101899217.0,2024-04-15 20:05:09+00:00,2024-04-15 20:07:33+00:00,['BRUSHING'],2024-04-15 20:05:08+00:00,2024-04-15 20:08:08+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
"LINESTRING Z (25.108430000000002 60.22023 0, 25.108739 60.220413 0, 25.108394 60.220311 0, 25.108430000000002 60.22035400000001 0, 25.109347 60.22076800000001 0)",101899441.0,101899333.0,2024-04-15 20:08:09+00:00,2024-04-15 20:10:34+00:00,['BRUSHING'],2024-04-15 20:08:08+00:00,2024-04-15 20:10:25+00:00,,state-roads,Harja/Väylävirasto,True,True,False,Helsinki Vartiokylä Huivipolku
