geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,1000m,500m,100m
"LINESTRING Z (438683.8412136214 6901419.453630731 0, 438929.0315757192 6901394.602155072 0, 439124.991999019 6901403.641836863 0)",103761816.0,103761789.0,2024-04-30 23:14:16+00:00,2024-04-30 23:16:55+00:00,['BRUSHING'],2024-04-30 23:14:19+00:00,2024-04-30 23:15:26+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439124.991999019 6901403.641836863 0, 439235.2766616619 6901420.367904723 0, 439473.7637540948 6901482.145355696 0, 439604.4954912465 6901506.092685593 0, 440080.3386133672 6901536.13710784 0)",103761827.0,103761816.0,2024-04-30 23:15:23+00:00,2024-04-30 23:17:55+00:00,['BRUSHING'],2024-04-30 23:15:26+00:00,2024-04-30 23:17:22+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440080.3386133672 6901536.13710784 0, 440274.1934967446 6901547.398069055 0, 440322.0986607123 6901564.15337103 0, 440347.0832615762 6901586.77566477 0, 440361.2277877374 6901613.601690442 0, 440369.5294714906 6901647.996971279 0, 440369.9487844505 6901715.625898696 0)",103761850.0,103761827.0,2024-04-30 23:17:19+00:00,2024-04-30 23:19:55+00:00,['BRUSHING'],2024-04-30 23:17:22+00:00,2024-04-30 23:19:27+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (440369.9487844505 6901715.625898696 0, 440358.9148515641 6901858.337048421 0, 440359.9374056954 6901918.935380566 0, 440355.4818183284 6901937.288472259 0, 440332.271440442 6901938.368715004 0, 440254.1429570363 6901858.19078514 0)",103761873.0,103761850.0,2024-04-30 23:19:24+00:00,2024-04-30 23:21:56+00:00,['BRUSHING'],2024-04-30 23:19:27+00:00,2024-04-30 23:20:28+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (440254.1429570363 6901858.19078514 0, 440156.185965565 6901767.893134831 0, 440088.9531902238 6901725.076114269 0, 439648.717814518 6901560.678638815 0)",103761883.0,103761873.0,2024-04-30 23:20:25+00:00,2024-04-30 23:22:56+00:00,['BRUSHING'],2024-04-30 23:20:28+00:00,2024-04-30 23:21:29+00:00,,state-roads,Harja/Väylävirasto,True,True,True
"LINESTRING Z (439648.717814518 6901560.678638815 0, 439566.2491096506 6901535.416528106 0, 439183.8271716069 6901452.386074757 0, 439126.8701560572 6901452.859107154 0, 438982.5924366039 6901496.255711131 0)",103761893.0,103761883.0,2024-04-30 23:21:26+00:00,2024-04-30 23:23:56+00:00,['BRUSHING'],2024-04-30 23:21:29+00:00,2024-04-30 23:22:30+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (438982.5924366039 6901496.255711131 0, 438752.8072868062 6901470.457261007 0, 438678.3932013293 6901474.152913265 0, 438584.5019217713 6901507.065756929 0, 438473.0955491398 6901571.16732478 0, 438373.8707041803 6901607.749438968 0)",103761906.0,103761893.0,2024-04-30 23:22:27+00:00,2024-04-30 23:24:56+00:00,['BRUSHING'],2024-04-30 23:22:30+00:00,2024-04-30 23:23:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (438777.955027775 6901407.153853832 0, 439017.471213061 6901393.22066562 0, 439164.4438896913 6901406.605293894 0, 439315.3279836408 6901438.088523009 0)",103762077.0,103762065.0,2024-04-30 23:35:50+00:00,2024-04-30 23:37:58+00:00,['BRUSHING'],2024-04-30 23:35:53+00:00,2024-04-30 23:36:54+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (439315.3279836408 6901438.088523009 0, 439563.8141370641 6901498.243367686 0, 439733.6148562706 6901518.485453481 0, 439948.647223117 6901528.011243314 0)",103762088.0,103762077.0,2024-04-30 23:36:51+00:00,2024-04-30 23:38:58+00:00,['BRUSHING'],2024-04-30 23:36:54+00:00,2024-04-30 23:37:55+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (439948.647223117 6901528.011243314 0, 440236.775831031 6901538.814154019 0, 440297.909768026 6901548.314199941 0, 440344.9903795385 6901580.127142431 0, 440362.1096790822 6901610.577518575 0, 440372.5193365198 6901655.409597995 0)",103762101.0,103762088.0,2024-04-30 23:37:52+00:00,2024-04-30 23:39:58+00:00,['BRUSHING'],2024-04-30 23:37:55+00:00,2024-04-30 23:39:14+00:00,,state-roads,Harja/Väylävirasto,True,True,False
