"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Virolahti Harju","2024","3","27","09:00","9.1"
"Virolahti Harju","2024","3","27","10:00","6.7"
"Virolahti Harju","2024","3","27","11:00","5"
"Virolahti Harju","2024","3","27","12:00","4.5"
"Virolahti Harju","2024","3","27","13:00","4.7"
"Virolahti Harju","2024","3","27","14:00","5.5"
"Virolahti Harju","2024","3","27","15:00","6.3"
"Virolahti Harju","2024","3","27","16:00","6.5"
"Virolahti Harju","2024","3","27","17:00","6.4"
"Virolahti Harju","2024","3","27","18:00","7.6"
"Virolahti Harju","2024","3","27","19:00","9"
"Virolahti Harju","2024","3","27","20:00","10.6"
"Virolahti Harju","2024","3","27","21:00","12.4"
"Virolahti Harju","2024","3","27","22:00","12.3"
"Virolahti Harju","2024","3","27","23:00","11.4"
"Virolahti Harju","2024","3","28","00:00","10.9"
"Virolahti Harju","2024","3","28","01:00","10.4"
"Virolahti Harju","2024","3","28","02:00","9.1"
"Virolahti Harju","2024","3","28","03:00","7.9"
"Virolahti Harju","2024","3","28","04:00","8.1"
"Virolahti Harju","2024","3","28","05:00","9.7"
"Virolahti Harju","2024","3","28","06:00","8.3"
"Virolahti Harju","2024","3","28","07:00","8.5"
"Virolahti Harju","2024","3","28","08:00","9.7"
"Virolahti Harju","2024","3","28","09:00","8.3"
"Virolahti Harju","2024","3","28","10:00","9.4"
"Virolahti Harju","2024","3","28","11:00","8.5"
"Virolahti Harju","2024","3","28","12:00","8"
"Virolahti Harju","2024","3","28","13:00","8"
"Virolahti Harju","2024","3","28","14:00","8.7"
"Virolahti Harju","2024","3","28","15:00","8.8"
"Virolahti Harju","2024","3","28","16:00","7.8"
"Virolahti Harju","2024","3","28","17:00","7.8"
"Virolahti Harju","2024","3","28","18:00","7.9"
"Virolahti Harju","2024","3","28","19:00","7.8"
"Virolahti Harju","2024","3","28","20:00","8.3"
"Virolahti Harju","2024","3","28","21:00","8"
"Virolahti Harju","2024","3","28","22:00","8.4"
"Virolahti Harju","2024","3","28","23:00","8.1"
"Virolahti Harju","2024","3","29","00:00","9"
"Virolahti Harju","2024","3","29","01:00","10.2"
"Virolahti Harju","2024","3","29","02:00","9.8"
"Virolahti Harju","2024","3","29","03:00","8.2"
"Virolahti Harju","2024","3","29","04:00","9.3"
"Virolahti Harju","2024","3","29","05:00","8.7"
"Virolahti Harju","2024","3","29","06:00","8.6"
"Virolahti Harju","2024","3","29","07:00","9.1"
"Virolahti Harju","2024","3","29","08:00","11.3"
"Virolahti Harju","2024","3","29","09:00","11.2"
"Virolahti Harju","2024","3","29","10:00","12.2"
"Virolahti Harju","2024","3","29","11:00","13.5"
"Virolahti Harju","2024","3","29","12:00","12"
"Virolahti Harju","2024","3","29","13:00","14.4"
"Virolahti Harju","2024","3","29","14:00","15.2"
"Virolahti Harju","2024","3","29","15:00","12.4"
"Virolahti Harju","2024","3","29","16:00","10.8"
"Virolahti Harju","2024","3","29","17:00","10.5"
"Virolahti Harju","2024","3","29","18:00","12.1"
"Virolahti Harju","2024","3","29","19:00","10.5"
"Virolahti Harju","2024","3","29","20:00","4.1"
"Virolahti Harju","2024","3","29","21:00","3.6"
"Virolahti Harju","2024","3","29","22:00","5.8"
"Virolahti Harju","2024","3","29","23:00","6.9"
"Virolahti Harju","2024","3","30","00:00","7"
"Virolahti Harju","2024","3","30","01:00","6.8"
"Virolahti Harju","2024","3","30","02:00","7"
"Virolahti Harju","2024","3","30","03:00","6.8"
"Virolahti Harju","2024","3","30","04:00","7.6"
"Virolahti Harju","2024","3","30","05:00","7.5"
