geometry,id,previousId,sendingTime,created,tasks,startTime,endTime,direction,domain,source,10k,500m,100m
"LINESTRING Z (432860.0690860287 6902617.900024363 0, 432865.768505301 6902619.680597125 0, 432862.8917137496 6902618.735133575 0)",105117654.0,105117029.0,2024-05-15 07:25:11+00:00,2024-05-15 07:27:32+00:00,['BRUSHING'],2024-05-15 07:25:11+00:00,2024-05-15 07:28:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432862.8917137496 6902618.735133575 0, 432864.9329954539 6902619.47441158 0)",105118288.0,105117654.0,2024-05-15 07:28:11+00:00,2024-05-15 07:30:38+00:00,['BRUSHING'],2024-05-15 07:28:11+00:00,2024-05-15 07:31:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432864.9329954539 6902619.47441158 0, 432862.4680756808 6902615.734890255 0)",105118929.0,105118288.0,2024-05-15 07:31:11+00:00,2024-05-15 07:33:45+00:00,['BRUSHING'],2024-05-15 07:31:11+00:00,2024-05-15 07:34:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432862.4680756808 6902615.734890255 0, 432857.0772874603 6902616.399695034 0, 432861.564266465 6902617.313003571 0)",105119548.0,105118929.0,2024-05-15 07:34:11+00:00,2024-05-15 07:36:51+00:00,['BRUSHING'],2024-05-15 07:34:11+00:00,2024-05-15 07:37:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432861.564266465 6902617.313003571 0, 432864.1769047206 6902618.040873222 0)",105120168.0,105119548.0,2024-05-15 07:37:11+00:00,2024-05-15 07:39:58+00:00,['BRUSHING'],2024-05-15 07:37:11+00:00,2024-05-15 07:40:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432864.1769047206 6902618.040873222 0, 432873.3756089762 6902623.317463402 0, 432859.8419535941 6902622.139028716 0)",105120815.0,105120168.0,2024-05-15 07:40:12+00:00,2024-05-15 07:43:05+00:00,['BRUSHING'],2024-05-15 07:40:11+00:00,2024-05-15 07:43:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432859.8419535941 6902622.139028716 0, 432873.8141734803 6902621.860074313 0, 432861.361596683 6902622.777286728 0)",105121446.0,105120815.0,2024-05-15 07:43:12+00:00,2024-05-15 07:45:11+00:00,['BRUSHING'],2024-05-15 07:43:11+00:00,2024-05-15 07:46:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432861.361596683 6902622.777286728 0, 432877.1139603766 6902620.568435529 0, 432861.3876375355 6902618.876597812 0)",105122118.0,105121446.0,2024-05-15 07:46:11+00:00,2024-05-15 07:48:17+00:00,['BRUSHING'],2024-05-15 07:46:11+00:00,2024-05-15 07:49:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432861.3876375355 6902618.876597812 0, 432866.8073327789 6902619.659856856 0, 432842.6302212375 6902611.116531345 0)",105122754.0,105122118.0,2024-05-15 07:49:12+00:00,2024-05-15 07:51:23+00:00,['BRUSHING'],2024-05-15 07:49:11+00:00,2024-05-15 07:52:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432842.6302212375 6902611.116531345 0, 432845.9016547841 6902621.414502989 0)",105123411.0,105122754.0,2024-05-15 07:52:12+00:00,2024-05-15 07:54:29+00:00,['BRUSHING'],2024-05-15 07:52:11+00:00,2024-05-15 07:55:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432845.9016547841 6902621.414502989 0, 432849.8663271926 6902616.989423327 0, 432847.4309765644 6902619.935326679 0)",105124029.0,105123411.0,2024-05-15 07:55:12+00:00,2024-05-15 07:57:35+00:00,['BRUSHING'],2024-05-15 07:55:11+00:00,2024-05-15 07:58:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432847.4309765644 6902619.935326679 0, 432848.7970235114 6902620.688079935 0)",105124673.0,105124029.0,2024-05-15 07:58:12+00:00,2024-05-15 08:00:42+00:00,['BRUSHING'],2024-05-15 07:58:11+00:00,2024-05-15 08:01:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432848.7970235114 6902620.688079935 0, 432843.1200406732 6902604.420743939 0, 432876.3912976218 6902490.651544938 0, 432739.5620190667 6902440.900424013 0)",105125309.0,105124673.0,2024-05-15 08:01:12+00:00,2024-05-15 08:03:48+00:00,['BRUSHING'],2024-05-15 08:01:11+00:00,2024-05-15 08:03:06+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432739.5620190667 6902440.900424013 0, 432680.3108171469 6902419.576481993 0, 432724.4871740355 6902331.551434943 0, 432735.4353082315 6902294.336527605 0, 432738.1151142647 6902249.040949251 0, 432722.56593292 6902079.638842241 0)",105125733.0,105125309.0,2024-05-15 08:03:06+00:00,2024-05-15 08:05:53+00:00,['BRUSHING'],2024-05-15 08:03:06+00:00,2024-05-15 08:05:32+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432722.56593292 6902079.638842241 0, 432705.2986270359 6901894.559072592 0, 432708.0362400161 6901878.12358992 0, 432833.8400037991 6901879.50921647 0, 432838.7594886001 6901865.593253523 0, 432845.1326019748 6901804.734863569 0)",105126154.0,105125733.0,2024-05-15 08:05:32+00:00,2024-05-15 08:07:57+00:00,['BRUSHING'],2024-05-15 08:05:32+00:00,2024-05-15 08:08:32+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432845.1326019748 6901804.734863569 0, 432851.1894017099 6901759.260602282 0, 432859.9012742739 6901740.031610793 0, 432932.8208705424 6901679.963045593 0, 432929.3641801115 6901668.220049472 0, 432874.7764010747 6901599.886023274 0, 432881.6053560621 6901572.225755678 0, 432912.8528370007 6901536.166680817 0, 432897.6265518357 6901544.159263738 0, 432878.4062929317 6901531.727897732 0)",105126790.0,105126154.0,2024-05-15 08:08:32+00:00,2024-05-15 08:11:04+00:00,['BRUSHING'],2024-05-15 08:08:32+00:00,2024-05-15 08:11:32+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432878.4062929317 6901531.727897732 0, 432873.6141915019 6901533.829316847 0, 432895.0399103801 6901523.930020597 0)",105127391.0,105126790.0,2024-05-15 08:11:32+00:00,2024-05-15 08:14:10+00:00,['BRUSHING'],2024-05-15 08:11:32+00:00,2024-05-15 08:12:58+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432895.0399103801 6901523.930020597 0, 432882.0426697392 6901492.542288321 0, 432891.8184381946 6901490.118594089 0, 432883.7241970303 6901503.874925407 0, 432894.4376367373 6901548.457337967 0, 432875.2987575894 6901584.386382101 0, 432872.4605586539 6901601.046568533 0, 432922.9064636334 6901659.768460982 0, 432928.8535828791 6901681.713646248 0, 432861.877201591 6901734.866241506 0, 432853.1291266935 6901747.075654101 0, 432850.2101434036 6901770.089178571 0)",105127734.0,105127391.0,2024-05-15 08:12:58+00:00,2024-05-15 08:15:14+00:00,['BRUSHING'],2024-05-15 08:12:58+00:00,2024-05-15 08:14:18+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (432850.2101434036 6901770.089178571 0, 432841.0666913048 6901877.024814514 0, 432855.4663202494 6901884.983391836 0, 432995.7043734639 6901896.115929505 0, 433061.8485486074 6901890.007290664 0, 433167.0132555621 6901857.160496256 0, 433254.6495778705 6901797.363752198 0)",105128004.0,105127734.0,2024-05-15 08:14:18+00:00,2024-05-15 08:17:17+00:00,['BRUSHING'],2024-05-15 08:14:18+00:00,2024-05-15 08:15:25+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (433254.6495778705 6901797.363752198 0, 433403.6715828981 6901658.796235902 0, 433444.7107263223 6901634.025949733 0, 433897.9912944128 6901546.305365011 0)",105128217.0,105128004.0,2024-05-15 08:15:25+00:00,2024-05-15 08:18:19+00:00,['BRUSHING'],2024-05-15 08:15:25+00:00,2024-05-15 08:17:11+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (433897.9912944128 6901546.305365011 0, 434101.7026132996 6901525.593726379 0, 434246.6209728665 6901448.655641805 0, 434325.8461712017 6901449.113822507 0, 434397.7816539377 6901379.625334692 0)",105128619.0,105128217.0,2024-05-15 08:17:12+00:00,2024-05-15 08:19:24+00:00,['BRUSHING'],2024-05-15 08:17:11+00:00,2024-05-15 08:19:02+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (434397.7816539377 6901379.625334692 0, 434534.5840350621 6901248.256681438 0, 434695.6830003832 6901077.198259515 0, 434735.2423392794 6901053.030023121 0, 434777.0288734409 6901055.228369773 0)",105129016.0,105128619.0,2024-05-15 08:19:02+00:00,2024-05-15 08:21:28+00:00,['BRUSHING'],2024-05-15 08:19:02+00:00,2024-05-15 08:20:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (434777.0288734409 6901055.228369773 0, 434829.8580303827 6901088.07985391 0, 434895.7855365412 6901145.082150158 0, 435333.2408847026 6901589.390305645 0)",105129234.0,105129016.0,2024-05-15 08:20:22+00:00,2024-05-15 08:22:30+00:00,['BRUSHING'],2024-05-15 08:20:22+00:00,2024-05-15 08:21:23+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (435333.2408847026 6901589.390305645 0, 435455.5619373391 6901723.209843951 0, 435604.6603231654 6901928.728152959 0, 435697.082969084 6902008.527384835 0, 435788.8419907984 6902053.798148465 0, 435985.0672272595 6902105.215783643 0, 436101.8161845058 6902183.337127212 0, 436157.2570182156 6902207.578973117 0, 436219.7511758426 6902217.424825856 0, 436311.4996382602 6902205.211605649 0)",105129444.0,105129234.0,2024-05-15 08:21:23+00:00,2024-05-15 08:23:32+00:00,['BRUSHING'],2024-05-15 08:21:23+00:00,2024-05-15 08:22:24+00:00,,state-roads,Harja/Väylävirasto,True,True,False
"LINESTRING Z (436311.4996382602 6902205.211605649 0, 436447.7563068784 6902153.047471843 0, 436551.7973363411 6902087.122059523 0, 436647.921885262 6902014.551833089 0, 436816.8290696941 6901849.020915422 0, 436989.1655858079 6901629.836900184 0, 437098.6216080645 6901543.547438602 0, 437184.0976326356 6901506.069857687 0, 437277.3441709364 6901486.612631368 0, 437371.5427824819 6901487.531896638 0, 437485.0389873498 6901511.606739522 0)",105129653.0,105129444.0,2024-05-15 08:22:24+00:00,2024-05-15 08:24:34+00:00,['BRUSHING'],2024-05-15 08:22:24+00:00,2024-05-15 08:23:25+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (437485.0389873498 6901511.606739522 0, 437622.06286485 6901546.057659592 0, 437740.0139807584 6901549.88970921 0, 438073.3546244159 6901469.302108747 0, 438464.0885427732 6901433.940490654 0, 438481.7588187836 6901422.474441334 0, 438486.6634933143 6901406.450454012 0, 438486.526844311 6901293.798577817 0)",105129848.0,105129653.0,2024-05-15 08:23:25+00:00,2024-05-15 08:25:36+00:00,['BRUSHING'],2024-05-15 08:23:25+00:00,2024-05-15 08:24:26+00:00,,state-roads,Harja/Väylävirasto,True,False,False
"LINESTRING Z (438486.526844311 6901293.798577817 0, 438469.17107281 6901205.975897438 0, 438413.5883581865 6901029.041314632 0, 438349.8136801415 6900853.594786576 0, 438299.0131829333 6900753.794382927 0, 438226.9122812185 6900646.47419829 0, 438039.1153547894 6900456.597763259 0, 437937.5052661528 6900328.766833846 0)",105130055.0,105129848.0,2024-05-15 08:24:27+00:00,2024-05-15 08:26:38+00:00,['BRUSHING'],2024-05-15 08:24:26+00:00,2024-05-15 08:25:27+00:00,,state-roads,Harja/Väylävirasto,True,False,False
