pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
239;vt1_Kaarina;20240427;*;;*;148;89;74;55;46;83;191;335;593;895;1195;1423;1423;1412;1355;1328;1280;1210;1057;821;632;456;313;276;16690
239;vt1_Kaarina;20240428;*;;*;171;118;123;75;55;54;132;230;329;525;855;1062;1277;1274;1360;1318;1464;1567;1311;1036;774;445;211;114;15880
239;vt1_Kaarina;20240429;*;;*;69;47;27;37;76;267;1016;1683;1373;1023;908;906;921;995;1170;1788;1849;1337;1072;853;663;391;225;116;18812
239;vt1_Kaarina;20240430;*;;*;74;31;36;19;54;246;951;1436;1241;878;761;1008;1028;1271;1632;2092;1769;1283;938;700;573;421;338;276;19056
239;vt1_Kaarina;20240501;*;;*;214;177;139;99;93;101;173;179;285;447;680;898;994;929;1022;971;1040;1038;1013;858;667;385;209;92;12703
239;vt1_Kaarina;20240502;*;;*;66;49;42;36;75;249;963;1667;1426;1020;897;1013;994;1068;1253;1795;1782;1338;1054;849;622;441;208;112;19019
239;vt1_Kaarina;20240503;*;;*;62;45;33;29;59;213;875;1456;1290;998;974;944;1162;1262;1537;1985;2112;1749;1232;980;772;566;328;211;20874
239;vt1_Kaarina;20240504;*;;*;156;107;79;55;48;89;217;355;579;952;1165;1363;1394;1243;1183;1178;1255;1131;1049;824;658;477;404;294;16255
239;vt1_Kaarina;20240505;*;;*;182;137;106;65;51;61;134;190;259;522;729;1034;1291;1331;1337;1295;1460;1426;1269;994;946;416;265;147;15647
239;vt1_Kaarina;20240506;*;;*;69;50;36;46;81;264;1103;1782;1519;1069;836;891;974;1000;1182;1828;1790;1263;979;774;647;357;222;101;18863
239;vt1_Kaarina;20240507;*;;*;54;38;28;30;62;245;1008;1793;1420;965;842;855;863;961;1218;1708;1884;1369;1066;868;779;416;209;104;18785
239;vt1_Kaarina;20240508;*;;*;66;41;28;36;71;234;882;1532;1338;880;841;888;901;984;1358;1915;2029;1607;1275;1128;794;502;303;196;19829
239;vt1_Kaarina;20240509;*;;*;126;88;66;47;36;99;278;447;523;680;986;1107;1234;1179;1147;1148;1167;1111;1037;798;742;437;222;108;14813
239;vt1_Kaarina;20240510;*;;*;64;43;38;28;68;155;600;1032;1003;957;1015;1147;1237;1301;1437;1770;1704;1507;1138;878;702;487;294;228;18833
239;vt1_Kaarina;20240511;*;;*;148;106;91;54;61;61;208;294;564;795;1201;1338;1464;1459;1303;1322;1366;1315;1226;881;709;583;316;196;17061
239;vt1_Kaarina;20240512;*;;*;163;116;129;108;57;39;123;213;281;469;892;1300;1544;1426;1368;1551;1729;1823;1701;1334;1130;577;241;124;18438
239;vt1_Kaarina;20240513;*;;*;60;62;42;53;79;266;1002;1728;1505;1041;892;912;924;1041;1138;1763;1705;1247;935;829;699;390;229;121;18663
239;vt1_Kaarina;20240514;*;;*;61;43;45;36;57;251;1040;1690;1443;1038;946;946;915;1019;1208;1774;1826;1347;1044;896;735;461;246;113;19180
239;vt1_Kaarina;20240515;*;;*;68;47;33;47;60;251;1049;1753;1482;1031;919;984;991;1088;1274;1887;1950;1429;1046;911;785;517;304;144;20050
239;vt1_Kaarina;20240516;*;;*;84;54;33;42;82;256;1005;1713;1452;1033;917;978;1057;1035;1225;1836;1930;1528;1124;925;841;533;300;185;20168
239;vt1_Kaarina;20240517;*;;*;120;85;45;46;82;226;912;1512;1303;1037;868;1058;1116;1280;1686;2098;2018;1726;1411;1031;791;523;386;250;21610
239;vt1_Kaarina;20240518;*;;*;189;125;101;86;69;90;209;432;583;942;1255;1418;1364;1293;1333;1243;1193;1164;948;795;724;545;413;348;16862
239;vt1_Kaarina;20240519;*;;*;263;181;138;71;71;61;131;233;305;556;856;1179;1280;1344;1277;1340;1503;1571;1347;1105;960;525;286;165;16748
239;vt1_Kaarina;20240520;*;;*;78;53;44;34;80;302;1056;1668;1512;1024;884;928;1005;1013;1246;1798;1910;1326;1017;818;782;404;227;125;19334
239;vt1_Kaarina;20240521;*;;*;66;38;31;39;68;269;1059;1780;1432;1008;886;948;950;957;1265;1843;1911;1472;1124;884;780;451;263;138;19662
239;vt1_Kaarina;20240522;*;;*;92;50;40;35;93;264;1019;1746;1534;1046;878;981;1061;1053;1280;1933;1906;1470;1097;978;785;492;268;156;20257
239;vt1_Kaarina;20240523;*;;*;95;58;37;46;70;282;1012;1673;1453;1077;933;1003;1081;1150;1297;1906;1957;1535;1181;1057;806;501;287;165;20662
239;vt1_Kaarina;20240524;*;;*;123;65;51;34;56;239;870;1523;1337;1112;1048;1100;1178;1355;1692;2119;2119;1767;1353;998;870;569;384;286;22248
239;vt1_Kaarina;20240525;*;;*;190;128;90;57;57;68;227;470;739;1069;1254;1465;1524;1459;1252;1375;1317;1235;1047;878;727;481;359;327;17795
239;vt1_Kaarina;20240526;*;;*;221;155;122;63;71;64;154;244;339;547;864;1089;1315;1372;1380;1385;1516;1595;1524;1283;936;530;293;155;17217
239;vt1_Kaarina;20240527;*;;*;82;60;60;45;87;280;1048;1673;1462;1043;844;952;1052;1085;1168;1799;1870;1316;1110;862;759;457;300;147;19561
239;vt1_Kaarina;20240528;*;;*;86;40;33;38;66;269;1056;1778;1427;1029;862;1000;1014;1067;1334;1879;1814;1428;1040;903;733;417;261;152;19726
239;vt1_Kaarina;20240529;*;;*;72;54;40;41;76;261;1015;1638;1483;1038;916;1026;1071;1056;1264;1814;1941;1486;1147;926;799;544;354;149;20211
239;vt1_Kaarina;20240530;*;;*;99;62;35;39;72;268;967;1634;1411;1005;982;1032;1140;1187;1319;1860;1956;1531;1169;1025;854;507;314;199;20667
239;vt1_Kaarina;20240531;*;;*;93;70;50;27;77;224;845;1442;1279;1081;993;1080;1178;1392;1566;2016;2012;1622;1331;981;827;541;404;269;21400
239;vt1_Kaarina;20240601;*;;*;175;119;92;73;50;93;209;425;569;734;1092;1493;1966;1874;1648;1357;1394;1401;1390;1205;974;633;407;299;19672
239;vt1_Kaarina;20240602;*;;*;254;202;149;136;115;87;139;209;300;415;756;1038;1266;1366;1317;1361;1384;1466;1381;1244;959;599;312;166;16621
