startTime,endTime,direction,domain,source,1000m,500m,100m
2024-03-29 13:56:30+00:00,2024-03-29 13:58:31+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 13:58:31+00:00,2024-03-29 14:00:56+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 14:45:07+00:00,2024-03-29 14:47:22+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 14:47:22+00:00,2024-03-29 14:48:23+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 14:48:23+00:00,2024-03-29 14:49:43+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 14:49:43+00:00,2024-03-29 14:50:44+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 17:45:22+00:00,2024-03-29 17:47:25+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 17:46:41+00:00,2024-03-29 17:48:48+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 17:47:25+00:00,2024-03-29 17:49:29+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 17:48:48+00:00,2024-03-29 17:51:03+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 17:49:29+00:00,2024-03-29 17:52:29+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 17:51:03+00:00,2024-03-29 17:53:24+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 17:52:29+00:00,2024-03-29 17:55:03+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 17:53:24+00:00,2024-03-29 17:55:36+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 17:55:03+00:00,2024-03-29 17:57:21+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 17:55:36+00:00,2024-03-29 17:57:48+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 17:57:21+00:00,2024-03-29 17:59:35+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 17:57:48+00:00,2024-03-29 18:00:05+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 17:59:35+00:00,2024-03-29 18:02:10+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:00:05+00:00,2024-03-29 18:02:18+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:15:14+00:00,2024-03-29 18:18:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:15:53+00:00,2024-03-29 18:18:17+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:18:13+00:00,2024-03-29 18:20:31+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:18:17+00:00,2024-03-29 18:20:24+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:20:24+00:00,2024-03-29 18:22:40+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 18:20:31+00:00,2024-03-29 18:23:31+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 18:22:40+00:00,2024-03-29 18:25:03+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 18:23:31+00:00,2024-03-29 18:26:31+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 18:25:03+00:00,2024-03-29 18:27:58+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 18:26:31+00:00,2024-03-29 18:29:27+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 18:27:58+00:00,2024-03-29 18:30:19+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 18:29:27+00:00,2024-03-29 18:31:55+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:30:19+00:00,2024-03-29 18:33:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:31:55+00:00,2024-03-29 18:34:23+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:33:19+00:00,2024-03-29 18:36:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:54:53+00:00,2024-03-29 18:57:53+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:55:13+00:00,2024-03-29 18:58:13+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:57:53+00:00,2024-03-29 19:00:53+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 18:58:13+00:00,2024-03-29 19:01:05+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 19:00:53+00:00,2024-03-29 19:01:58+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 19:01:05+00:00,2024-03-29 19:02:31+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 19:01:58+00:00,2024-03-29 19:03:53+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 19:02:31+00:00,2024-03-29 19:03:50+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 19:03:50+00:00,2024-03-29 19:04:51+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 19:03:53+00:00,2024-03-29 19:04:54+00:00,,state-roads,Harja/Väylävirasto,True,True,True
2024-03-29 19:04:51+00:00,2024-03-29 19:07:51+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 19:04:54+00:00,2024-03-29 19:07:54+00:00,,state-roads,Harja/Väylävirasto,True,True,False
2024-03-29 19:07:51+00:00,2024-03-29 19:10:51+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 19:07:54+00:00,2024-03-29 19:10:54+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 19:46:52+00:00,2024-03-29 19:49:25+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 19:46:54+00:00,2024-03-29 19:49:19+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 19:49:19+00:00,2024-03-29 19:51:47+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 19:49:25+00:00,2024-03-29 19:52:14+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 20:51:27+00:00,2024-03-29 20:53:30+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 20:57:48+00:00,2024-03-29 21:00:48+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 21:52:17+00:00,2024-03-29 21:54:21+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 21:54:21+00:00,2024-03-29 21:56:58+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 21:56:58+00:00,2024-03-29 21:58:59+00:00,,state-roads,Harja/Väylävirasto,True,False,False
2024-03-29 21:58:59+00:00,2024-03-29 22:01:04+00:00,,state-roads,Harja/Väylävirasto,True,False,False
