pistetunnus;sijainti;pvm;suunta;suuntaselite;kaista;00_01;01_02;02_03;03_04;04_05;05_06;06_07;07_08;08_09;09_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20;20_21;21_22;22_23;23_24;yhteensa
923;vt4_Jyväskylä_Halssila;20240506;*;;*;125;63;74;86;197;570;1357;2181;2096;1612;1459;1595;1625;1708;2055;2655;2799;2013;1685;1381;1048;649;359;176;29568
923;vt4_Jyväskylä_Halssila;20240507;*;;*;136;99;76;95;156;564;1372;2193;1933;1556;1381;1520;1546;1734;1979;2764;2816;2149;1708;1464;1160;675;412;214;29702
923;vt4_Jyväskylä_Halssila;20240508;*;;*;154;92;96;91;167;547;1304;2166;1882;1503;1409;1670;1807;2066;2501;3076;3188;2724;2312;1847;1507;923;574;373;33979
923;vt4_Jyväskylä_Halssila;20240509;*;;*;292;163;135;99;151;274;469;457;657;1172;1561;1866;2072;2146;2043;2010;1996;1764;1599;1299;1043;674;423;242;24607
923;vt4_Jyväskylä_Halssila;20240510;*;;*;149;101;92;77;148;334;848;1480;1391;1602;1777;2056;2181;2359;2504;2817;2970;2385;1998;1572;1158;784;454;308;31545
923;vt4_Jyväskylä_Halssila;20240511;*;;*;334;226;177;126;135;165;266;460;908;1420;1755;2017;2233;2219;2008;2027;2080;1775;1535;1444;1054;828;556;380;26128
923;vt4_Jyväskylä_Halssila;20240512;*;;*;330;233;198;94;103;89;176;239;436;822;1324;1888;2254;2611;2552;2706;2932;2652;2284;1868;1353;841;425;205;28615
923;vt4_Jyväskylä_Halssila;20240513;*;;*;117;92;65;78;193;598;1405;2206;1990;1589;1559;1670;1740;1838;2182;2715;2732;2019;1647;1363;1087;679;418;191;30173
923;vt4_Jyväskylä_Halssila;20240514;*;;*;163;119;93;89;167;542;1353;2307;1982;1599;1498;1556;1694;1757;2030;2762;2763;2109;1749;1392;1208;752;439;257;30380
923;vt4_Jyväskylä_Halssila;20240515;*;;*;179;82;105;77;185;547;1404;2161;1919;1615;1492;1695;1810;1829;2194;2825;2954;2337;1899;1660;1303;881;538;299;31990
923;vt4_Jyväskylä_Halssila;20240516;*;;*;206;125;96;98;173;564;1294;2164;2030;1721;1608;1795;1887;1927;2237;2846;3085;2357;1882;1646;1277;877;471;286;32652
923;vt4_Jyväskylä_Halssila;20240517;*;;*;185;130;112;84;156;527;1214;1958;1878;1693;1772;1950;2206;2332;2841;3240;3107;2661;2204;1725;1442;970;674;501;35562
923;vt4_Jyväskylä_Halssila;20240518;*;;*;395;242;185;174;141;187;306;543;876;1508;1976;2126;2096;2105;1977;1963;1746;1639;1334;1158;1040;818;613;465;25613
923;vt4_Jyväskylä_Halssila;20240519;*;;*;419;355;262;235;120;133;197;255;418;778;1226;1571;1955;2205;2247;2455;2293;2206;2139;1653;1331;913;467;241;26074
923;vt4_Jyväskylä_Halssila;20240520;*;;*;162;89;66;82;213;623;1394;2158;1994;1643;1608;1770;1692;1894;2185;2777;2806;2125;1818;1419;1142;753;439;229;31081
923;vt4_Jyväskylä_Halssila;20240521;*;;*;195;109;79;93;173;599;1439;2297;1979;1571;1508;1749;1686;1831;2039;2891;2888;2226;1834;1557;1216;767;442;261;31429
923;vt4_Jyväskylä_Halssila;20240522;*;;*;174;106;80;102;176;582;1332;2239;1987;1569;1497;1676;1755;1902;2256;2877;2873;2314;1823;1569;1255;894;484;308;31830
