"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [UTC]","Hengitettävät hiukkaset <10 µm [µg/m3]"
"Kaarina Kaarina","2024","3","10","13:00","18.2"
"Kaarina Kaarina","2024","3","10","14:00","13.5"
"Kaarina Kaarina","2024","3","10","15:00","15.4"
"Kaarina Kaarina","2024","3","10","16:00","16.6"
"Kaarina Kaarina","2024","3","10","17:00","20.9"
"Kaarina Kaarina","2024","3","10","18:00","50.2"
"Kaarina Kaarina","2024","3","10","19:00","70.8"
"Kaarina Kaarina","2024","3","10","20:00","81.6"
"Kaarina Kaarina","2024","3","10","21:00","92.3"
"Kaarina Kaarina","2024","3","10","22:00","69.3"
"Kaarina Kaarina","2024","3","10","23:00","46.6"
"Kaarina Kaarina","2024","3","11","00:00","50"
"Kaarina Kaarina","2024","3","11","01:00","36.7"
"Kaarina Kaarina","2024","3","11","02:00","37.7"
"Kaarina Kaarina","2024","3","11","03:00","33.9"
"Kaarina Kaarina","2024","3","11","04:00","35.5"
"Kaarina Kaarina","2024","3","11","05:00","27.3"
"Kaarina Kaarina","2024","3","11","06:00","47.1"
"Kaarina Kaarina","2024","3","11","07:00","60"
"Kaarina Kaarina","2024","3","11","08:00","86.5"
"Kaarina Kaarina","2024","3","11","09:00","77"
"Kaarina Kaarina","2024","3","11","10:00","51.6"
"Kaarina Kaarina","2024","3","11","11:00","31.4"
"Kaarina Kaarina","2024","3","11","12:00","27.8"
"Kaarina Kaarina","2024","3","11","13:00","26.5"
"Kaarina Kaarina","2024","3","11","14:00","30.2"
"Kaarina Kaarina","2024","3","11","15:00","29.7"
"Kaarina Kaarina","2024","3","11","16:00","39.4"
"Kaarina Kaarina","2024","3","11","17:00","33.5"
"Kaarina Kaarina","2024","3","11","18:00","226.2"
"Kaarina Kaarina","2024","3","11","19:00","264.8"
"Kaarina Kaarina","2024","3","11","20:00","209.7"
"Kaarina Kaarina","2024","3","11","21:00","126.2"
"Kaarina Kaarina","2024","3","11","22:00","100.4"
"Kaarina Kaarina","2024","3","11","23:00","77.7"
"Kaarina Kaarina","2024","3","12","00:00","43.3"
"Kaarina Kaarina","2024","3","12","01:00","31.5"
"Kaarina Kaarina","2024","3","12","02:00","21.2"
"Kaarina Kaarina","2024","3","12","03:00","17.7"
"Kaarina Kaarina","2024","3","12","04:00","13.5"
"Kaarina Kaarina","2024","3","12","05:00","10.2"
"Kaarina Kaarina","2024","3","12","06:00","23.3"
"Kaarina Kaarina","2024","3","12","07:00","27.3"
"Kaarina Kaarina","2024","3","12","08:00","32.8"
"Kaarina Kaarina","2024","3","12","09:00","32.6"
"Kaarina Kaarina","2024","3","12","10:00","28.6"
"Kaarina Kaarina","2024","3","12","11:00","21.9"
"Kaarina Kaarina","2024","3","12","12:00","21"
"Kaarina Kaarina","2024","3","12","13:00","23"
"Kaarina Kaarina","2024","3","12","14:00","29.2"
"Kaarina Kaarina","2024","3","12","15:00","24.6"
"Kaarina Kaarina","2024","3","12","16:00","18.7"
"Kaarina Kaarina","2024","3","12","17:00","28.2"
"Kaarina Kaarina","2024","3","12","18:00","389"
"Kaarina Kaarina","2024","3","12","19:00","330.8"
"Kaarina Kaarina","2024","3","12","20:00","236.4"
"Kaarina Kaarina","2024","3","12","21:00","112.3"
"Kaarina Kaarina","2024","3","12","22:00","28.4"
"Kaarina Kaarina","2024","3","12","23:00","20.1"
"Kaarina Kaarina","2024","3","13","00:00","31"
"Kaarina Kaarina","2024","3","13","01:00","24.5"
"Kaarina Kaarina","2024","3","13","02:00","18.5"
"Kaarina Kaarina","2024","3","13","03:00","14.4"
"Kaarina Kaarina","2024","3","13","04:00","23.8"
"Kaarina Kaarina","2024","3","13","05:00","26.3"
"Kaarina Kaarina","2024","3","13","06:00","27.3"
"Kaarina Kaarina","2024","3","13","07:00","31.3"
"Kaarina Kaarina","2024","3","13","08:00","30.7"
"Kaarina Kaarina","2024","3","13","09:00","28.7"
"Kaarina Kaarina","2024","3","13","10:00","21.2"
"Kaarina Kaarina","2024","3","13","11:00","20.2"
"Kaarina Kaarina","2024","3","13","12:00","18.2"
"Kaarina Kaarina","2024","3","13","13:00","22.6"
"Kaarina Kaarina","2024","3","13","14:00","26.3"
"Kaarina Kaarina","2024","3","13","15:00","28.1"
"Kaarina Kaarina","2024","3","13","16:00","28.1"
"Kaarina Kaarina","2024","3","13","17:00","39.8"
"Kaarina Kaarina","2024","3","13","18:00","32.8"
"Kaarina Kaarina","2024","3","13","19:00","28.5"
